tedlist,Staid,ted_type,lat,long,Citation
nwis_02203900,2203900,sitelist,33.666219,-84.224643,STATSGO
nwis_02203950,2203950,sitelist,33.763439,-84.220198,STATSGO
nwis_02203960,2203960,sitelist,33.696667,-84.198611,STATSGO
nwis_02207135,2207135,sitelist,33.830661,-84.139361,STATSGO
nwis_02207160,2207160,sitelist,33.773441,-84.077137,STATSGO
nwis_02208493,2208493,sitelist,33.6285,-83.798861,STATSGO
nwis_02217643,2217643,sitelist,34.162058,-83.525094,STATSGO
nwis_02231254,2231254,bonussites,30.744124,-81.654268,STATSGO
nwis_023362095,23362095,sitelist,33.821389,-84.274722,STATSGO
nwis_02336313,2336313,sitelist,33.821772,-84.438818,STATSGO
nwis_02336340,2336340,sitelist,33.89788,-84.345481,STATSGO
nwis_02162035,2162035,sitelist,34.048333,-81.073333,STATSGO
nwis_03255349,3255349,sitelist,39.269444,-84.431944,STATSGO
nwis_03259757,3259757,sitelist,39.163056,-84.5575,STATSGO
nwis_03259813,3259813,sitelist,39.15,-84.5475,STATSGO
nwis_03301940,3301940,sitelist,38.150347,-85.693571,STATSGO
nwis_03321500,3321500,sitelist,37.858377,-87.409729,STATSGO
nwis_03353420,3353420,sitelist,39.872583,-86.361528,STATSGO
nwis_04092750,4092750,bonussites,41.649202,-87.468653,STATSGO
nwis_04095090,4095090,sitelist,41.622259,-87.175869,STATSGO
nwis_04213152,4213152,sitelist,42.073889,-80.234722,STATSGO
nwis_05406457,5406457,sitelist,43.109722,-89.640833,STATSGO
nwis_05406469,5406469,sitelist,43.125278,-89.635,STATSGO
nwis_05406479,5406479,sitelist,43.114722,-89.664167,STATSGO
nwis_05435950,5435950,sitelist,42.949167,-89.544167,STATSGO
nwis_05579630,5579630,sitelist,40.458333,-88.8775,STATSGO
nwis_05599490,5599490,sitelist,37.758333,-89.327778,STATSGO
nwis_07075250,7075250,sitelist,35.54705,-92.707667,STATSGO
nwis_07075270,7075270,sitelist,35.569722,-92.621944,STATSGO
nwis_072632966,72632966,sitelist,34.875278,-92.653889,STATSGO
nwis_11273400,11273400,sitelist,37.347215,-120.976178,STATSGO
nwis_11313433,11313433,bonussites,38.01353,-121.66773,STATSGO
nwis_11447830,11447830,sitelist,38.32917,-121.57917,STATSGO
nwis_11447850,11447850,sitelist,38.28472,-121.58667,STATSGO
nwis_11455165,11455165,sitelist,38.29167,-121.63083,STATSGO
nwis_11455315,11455315,bonussites,38.242222,-121.686111,STATSGO
nwis_11455350,11455350,bonussites,38.212778,-121.669167,STATSGO
nwis_12100490,12100490,sitelist,47.274823,-122.207897,STATSGO
nwis_12101100,12101100,sitelist,47.238156,-122.228175,STATSGO
nwis_12102075,12102075,sitelist,47.1976,-122.337343,STATSGO
nwis_13206400,13206400,sitelist,43.69167,-116.35639,STATSGO
nwis_14202650,14202650,sitelist,45.440642,-123.125,STATSGO
nwis_072632966,72632966,sitelist,34.875278,-92.653889,STATSGO
nwis_11273400,11273400,sitelist,37.347215,-120.976178,STATSGO
nwis_11313433,11313433,bonussites,38.01353,-121.66773,STATSGO
nwis_11447830,11447830,sitelist,38.32917,-121.57917,STATSGO
nwis_11447850,11447850,sitelist,38.28472,-121.58667,STATSGO
nwis_11455165,11455165,sitelist,38.29167,-121.63083,STATSGO
nwis_11455315,11455315,bonussites,38.242222,-121.686111,STATSGO
nwis_11455350,11455350,bonussites,38.212778,-121.669167,STATSGO
nwis_12100490,12100490,sitelist,47.274823,-122.207897,STATSGO
nwis_12101100,12101100,sitelist,47.238156,-122.228175,STATSGO
nwis_12102075,12102075,sitelist,47.1976,-122.337343,STATSGO
nwis_13206400,13206400,sitelist,43.69167,-116.35639,STATSGO
nwis_14202650,14202650,sitelist,45.440642,-123.125,STATSGO
nwis_02171645,2171645,append,33.4275,-79.915,STATSGO
nwis_04119400,4119400,append,43.0241884,-86.0264354,STATSGO
nwis_041482663,41482663,append,42.9419733,-83.8460698,STATSGO
nwis_04157005,4157005,append,43.4219699,-83.951918,STATSGO
nwis_08188060,8188060,append,28.84869444,-97.7371389,STATSGO
nwis_08211200,8211200,append,27.93779594,-97.7758308,STATSGO
nwis_08412500,8412500,append,31.87262648,-103.8315824,STATSGO
nwis_08437710,8437710,append,31.3668055,-103.0059908,STATSGO
nwis_08446500,8446500,append,31.11320329,-102.4176419,STATSGO
nwis_08447000,8447000,append,30.65961373,-101.7701244,STATSGO
nwis_411955088280601,4.12E+14,append,41.33306,-88.46694,STATSGO
